16.31,9.3
9.295,7.78
7.973333333333334,6.95
7.038333333333333,6.41
6.426666666666667,5.91
5.823333333333333,5.46
5.391666666666667,5.22
5.065,4.88
4.751666666666667,4.85
4.433333333333334,4.44
4.215,4.19
4.005,4.13
3.79,3.89
3.651666666666667,3.81
3.473333333333333,3.55
3.3466666666666667,3.6
3.205,3.58
3.1,3.48
2.97,3.23
2.85,3.23
2.683333333333333,3.28
2.66,3.12
2.558333333333333,3.01
2.4916666666666667,3.12
2.435,2.86
2.3766666666666665,2.89
2.2716666666666665,2.86
2.1966666666666668,2.82
2.1683333333333334,2.81
2.1,2.85
2.0316666666666667,2.7
1.9916666666666667,2.83
1.91,2.55
1.865,2.54
