19.655,11.29
10.653333333333334,8.92
9.016666666666667,7.78
7.955,7.09
7.18,6.66
6.595,6.37
6.165,6.42
5.781666666666666,5.85
5.381666666666667,5.74
5.075,5.1
4.775,5.22
4.565,5.18
4.3533333333333335,4.75
4.145,4.8
3.9233333333333333,4.42
3.8316666666666666,4.64
3.6366666666666667,4.53
3.566666666666667,4.33
3.3983333333333334,4.64
3.3216666666666668,4.3
3.2666666666666666,4.34
3.1666666666666665,4.53
3.1533333333333333,4.48
3.27,4.67
3.4166666666666665,4.82
3.3133333333333335,4.73
4.828333333333333,7.05
4.56,4.92
3.671666666666667,5.14
3.651666666666667,5.0
4.1066666666666665,5.83
4.455,5.6
3.795,4.85
3.5533333333333332,4.75
3.5166666666666666,5.2
3.921666666666667,5.13
4.331666666666667,5.8
4.915,6.07
4.9816666666666665,6.13
6.358333333333333,8.5
