21.22833333333333,12.04
11.74,10.18
10.038333333333334,9.06
9.105,7.93
8.256666666666666,7.78
7.655,7.03
7.163333333333333,6.83
6.705,6.56
6.476666666666667,6.39
6.128333333333333,6.04
5.903333333333333,6.04
5.64,5.73
5.315,5.5
5.175,5.24
4.943333333333333,4.78
4.77,5.08
4.613333333333333,4.78
4.5216666666666665,4.84
4.3116666666666665,4.7
4.321666666666666,4.25
4.068333333333333,4.2
3.955,4.01
3.8833333333333333,4.41
3.7616666666666667,4.13
3.655,4.14
3.575,3.82
3.505,3.95
3.4166666666666665,3.87
3.3433333333333333,3.73
3.3233333333333333,3.89
3.2116666666666664,3.67
3.175,3.89
3.105,3.64
2.9833333333333334,3.59
2.99,3.59
2.9566666666666666,3.61
2.881666666666667,3.4
2.825,3.47
