25.56833333333333,14.47
13.76,11.79
11.936666666666667,10.41
11.071666666666667,9.71
10.435,9.27
9.94,8.93
9.67,8.74
9.295,8.56
8.975,8.21
8.753333333333334,7.99
8.48,7.75
8.268333333333333,7.65
8.073333333333334,7.54
7.905,7.31
7.746666666666667,7.13
7.591666666666667,7.06
7.4,6.9
7.281666666666666,6.71
7.1,6.75
6.9783333333333335,6.59
6.833333333333333,6.54
6.741666666666666,6.28
6.6433333333333335,6.21
6.533333333333333,6.19
6.421666666666667,6.06
6.346666666666667,6.06
6.2283333333333335,6.09
6.11,5.94
6.023333333333333,5.88
5.9366666666666665,5.81
5.85,5.86
5.778333333333333,5.71
5.675,5.58
5.623333333333333,5.5
5.54,5.5
5.466666666666667,5.43
5.398333333333333,5.38
5.336666666666667,5.33
5.283333333333333,5.2
5.2,5.17
