30.043333333333333,15.92
14.921666666666667,12.98
12.776666666666667,11.51
11.528333333333334,10.1
10.703333333333333,9.9
10.14,9.37
9.61,8.95
9.266666666666667,8.7
8.81,8.54
8.715,8.11
8.443333333333333,8.03
8.145,7.8
8.081666666666667,7.93
7.92,7.86
7.698333333333333,7.47
7.735,7.95
7.471666666666667,7.58
7.421666666666667,7.56
7.373333333333333,7.3
7.028333333333333,7.35
7.043333333333333,7.01
6.9,7.22
6.826666666666667,6.95
6.618333333333333,6.99
6.625,6.9
6.516666666666667,6.55
6.445,6.61
6.381666666666667,6.39
6.286666666666667,6.72
6.208333333333333,6.44
6.14,6.63
5.945,6.23
5.905,5.96
5.741666666666666,6.27
